Id,Category
0,pineapple
1,pear
2,mug
3,pool
4,empty
5,rifle
6,sink
7,scorpion
8,penguin
9,rollerskates
10,penguin
11,apple
12,sailboat
13,skull
14,rollerskates
15,paintbrush
16,rifle
17,parrot
18,pear
19,rifle
20,sailboat
21,peanut
22,rifle
23,mug
24,pool
25,mouth
26,scorpion
27,sailboat
28,rollerskates
29,nose
30,pineapple
31,nail
32,screwdriver
33,octagon
34,skull
35,empty
36,pool
37,spoon
38,pool
39,rollerskates
40,scorpion
41,scorpion
42,pool
43,skull
44,penguin
45,spoon
46,peanut
47,skull
48,spoon
49,scorpion
50,sailboat
51,sailboat
52,shovel
53,penguin
54,rifle
55,sailboat
56,paintbrush
57,skateboard
58,nose
59,scorpion
60,octagon
61,sailboat
62,pool
63,penguin
64,pillow
65,sink
66,rhinoceros
67,scorpion
68,apple
69,mouth
70,skateboard
71,pear
72,pool
73,rollerskates
74,nose
75,parrot
76,squiggle
77,pineapple
78,empty
79,mouth
80,rollerskates
81,rifle
82,mug
83,nail
84,penguin
85,skull
86,octagon
87,mug
88,rifle
89,sink
90,empty
91,apple
92,mug
93,pineapple
94,sailboat
95,pool
96,peanut
97,empty
98,pool
99,sink
100,sailboat
101,empty
102,apple
103,empty
104,nail
105,sailboat
106,pear
107,mug
108,pool
109,moustache
110,sailboat
111,pool
112,empty
113,rifle
114,screwdriver
115,shovel
116,peanut
117,screwdriver
118,squiggle
119,rifle
120,nail
121,sailboat
122,pillow
123,mouth
124,apple
125,apple
126,pear
127,pool
128,skull
129,sailboat
130,panda
131,pillow
132,empty
133,spoon
134,rifle
135,sailboat
136,rollerskates
137,scorpion
138,pillow
139,sailboat
140,nail
141,scorpion
142,empty
143,pool
144,rhinoceros
145,octagon
146,octagon
147,pear
148,mouth
149,pencil
150,rifle
151,rifle
152,pineapple
153,scorpion
154,pool
155,screwdriver
156,apple
157,paintbrush
158,rollerskates
159,octagon
160,parrot
161,pear
162,mouth
163,pool
164,pool
165,penguin
166,moustache
167,empty
168,scorpion
169,nose
170,peanut
171,rifle
172,penguin
173,shovel
174,skull
175,nail
176,empty
177,rifle
178,parrot
179,skateboard
180,penguin
181,pool
182,rollerskates
183,pineapple
184,rifle
185,nail
186,rabbit
187,pool
188,pillow
189,empty
190,rabbit
191,parrot
192,sink
193,mouth
194,pineapple
195,skull
196,pillow
197,paintbrush
198,scorpion
199,pool
200,pillow
201,skateboard
202,rollerskates
203,skull
204,pool
205,rabbit
206,skateboard
207,nail
208,pool
209,pencil
210,octagon
211,sailboat
212,rollerskates
213,squiggle
214,rabbit
215,pear
216,mouth
217,pillow
218,parrot
219,skull
220,nail
221,empty
222,shovel
223,nail
224,penguin
225,mug
226,squiggle
227,sink
228,sailboat
229,apple
230,rollerskates
231,nail
232,nail
233,skateboard
234,rollerskates
235,squiggle
236,mouth
237,pillow
238,octagon
239,rollerskates
240,apple
241,rifle
242,octagon
243,penguin
244,pineapple
245,paintbrush
246,pineapple
247,paintbrush
248,nail
249,sailboat
250,panda
251,pillow
252,shovel
253,mug
254,rollerskates
255,paintbrush
256,pineapple
257,empty
258,octagon
259,pool
260,nail
261,pear
262,mug
263,screwdriver
264,pool
265,mouth
266,skull
267,rifle
268,penguin
269,shovel
270,rhinoceros
271,rollerskates
272,nose
273,skateboard
274,pillow
275,pineapple
276,skateboard
277,rollerskates
278,screwdriver
279,skateboard
280,moustache
281,moustache
282,skateboard
283,spoon
284,paintbrush
285,mug
286,penguin
287,skateboard
288,mouth
289,rollerskates
290,octagon
291,sailboat
292,paintbrush
293,mouth
294,squiggle
295,penguin
296,rhinoceros
297,skull
298,skateboard
299,penguin
300,spoon
301,pool
302,scorpion
303,rifle
304,parrot
305,apple
306,nose
307,apple
308,pillow
309,rifle
310,rifle
311,pool
312,rabbit
313,shovel
314,skateboard
315,pineapple
316,peanut
317,mouth
318,skull
319,parrot
320,mouth
321,pool
322,scorpion
323,scorpion
324,shovel
325,shovel
326,rifle
327,paintbrush
328,rifle
329,squiggle
330,spoon
331,rabbit
332,sink
333,penguin
334,octagon
335,rabbit
336,pineapple
337,scorpion
338,empty
339,rollerskates
340,skateboard
341,pool
342,sailboat
343,octagon
344,nail
345,mug
346,rollerskates
347,parrot
348,squiggle
349,squiggle
350,octagon
351,pineapple
352,pillow
353,apple
354,octagon
355,rhinoceros
356,nose
357,mouth
358,rollerskates
359,mug
360,empty
361,octagon
362,empty
363,pool
364,rifle
365,mouth
366,skateboard
367,empty
368,pool
369,octagon
370,pool
371,scorpion
372,rifle
373,pillow
374,penguin
375,nail
376,panda
377,empty
378,skateboard
379,sailboat
380,pineapple
381,rifle
382,rollerskates
383,sailboat
384,sailboat
385,pool
386,apple
387,octagon
388,paintbrush
389,rabbit
390,rollerskates
391,skateboard
392,moustache
393,nail
394,pool
395,sink
396,pear
397,octagon
398,penguin
399,rollerskates
400,pool
401,mouth
402,apple
403,skateboard
404,pool
405,shovel
406,pineapple
407,apple
408,pool
409,peanut
410,skateboard
411,pillow
412,mug
413,penguin
414,shovel
415,screwdriver
416,pillow
417,rabbit
418,parrot
419,peanut
420,rabbit
421,spoon
422,nail
423,sailboat
424,mouth
425,skull
426,skateboard
427,peanut
428,rabbit
429,parrot
430,rollerskates
431,pool
432,skateboard
433,pillow
434,pencil
435,panda
436,sink
437,mouth
438,mug
439,pineapple
440,paintbrush
441,sink
442,penguin
443,rollerskates
444,paintbrush
445,penguin
446,penguin
447,scorpion
448,mug
449,sink
450,panda
451,shovel
452,screwdriver
453,screwdriver
454,empty
455,skateboard
456,rifle
457,apple
458,pool
459,rifle
460,pencil
461,rhinoceros
462,pear
463,spoon
464,rollerskates
465,sink
466,nail
467,pool
468,nail
469,screwdriver
470,rifle
471,sailboat
472,rollerskates
473,octagon
474,pool
475,skateboard
476,pineapple
477,apple
478,rabbit
479,pool
480,moustache
481,sink
482,moustache
483,empty
484,mug
485,pool
486,rhinoceros
487,peanut
488,sailboat
489,octagon
490,pineapple
491,moustache
492,skull
493,pineapple
494,pool
495,octagon
496,skateboard
497,rifle
498,scorpion
499,pillow
500,mouth
501,penguin
502,sink
503,sink
504,apple
505,nail
506,moustache
507,empty
508,apple
509,skull
510,octagon
511,pool
512,panda
513,pencil
514,pear
515,nose
516,nail
517,pillow
518,mug
519,pool
520,skull
521,peanut
522,octagon
523,pool
524,spoon
525,octagon
526,pool
527,penguin
528,octagon
529,sailboat
530,screwdriver
531,mug
532,pineapple
533,pillow
534,skateboard
535,rifle
536,mug
537,rollerskates
538,skull
539,paintbrush
540,mug
541,penguin
542,rhinoceros
543,rollerskates
544,pillow
545,rifle
546,nail
547,squiggle
548,pool
549,rifle
550,sink
551,empty
552,rhinoceros
553,nail
554,moustache
555,rifle
556,skull
557,skateboard
558,rifle
559,parrot
560,skateboard
561,apple
562,empty
563,squiggle
564,rifle
565,peanut
566,moustache
567,mouth
568,squiggle
569,skateboard
570,spoon
571,empty
572,rifle
573,shovel
574,nail
575,rifle
576,pool
577,mouth
578,rhinoceros
579,mug
580,skateboard
581,pillow
582,pineapple
583,penguin
584,spoon
585,mug
586,pool
587,penguin
588,rifle
589,skateboard
590,peanut
591,skateboard
592,sailboat
593,mug
594,skateboard
595,mouth
596,octagon
597,paintbrush
598,squiggle
599,pool
600,spoon
601,rifle
602,mug
603,nail
604,pillow
605,peanut
606,empty
607,pineapple
608,pool
609,empty
610,nail
611,octagon
612,apple
613,sink
614,nail
615,rifle
616,pool
617,skull
618,rollerskates
619,mouth
620,squiggle
621,rollerskates
622,pineapple
623,paintbrush
624,sink
625,pool
626,squiggle
627,pineapple
628,skateboard
629,mug
630,skateboard
631,parrot
632,nail
633,pool
634,nail
635,rollerskates
636,scorpion
637,pineapple
638,skull
639,skull
640,rollerskates
641,apple
642,skateboard
643,spoon
644,skull
645,pool
646,sailboat
647,sailboat
648,rhinoceros
649,pineapple
650,nail
651,pineapple
652,scorpion
653,skateboard
654,scorpion
655,empty
656,apple
657,empty
658,octagon
659,sailboat
660,scorpion
661,sink
662,rabbit
663,mug
664,apple
665,sailboat
666,mug
667,peanut
668,nose
669,mouth
670,mug
671,moustache
672,rabbit
673,pear
674,pool
675,skateboard
676,skateboard
677,rollerskates
678,rifle
679,nail
680,pillow
681,rifle
682,pool
683,rollerskates
684,sink
685,pillow
686,parrot
687,empty
688,moustache
689,skateboard
690,squiggle
691,nail
692,scorpion
693,skateboard
694,rollerskates
695,sink
696,paintbrush
697,rabbit
698,empty
699,rifle
700,pool
701,scorpion
702,rhinoceros
703,sink
704,skull
705,mug
706,pool
707,penguin
708,rifle
709,paintbrush
710,nose
711,rifle
712,paintbrush
713,rifle
714,panda
715,rhinoceros
716,mug
717,skateboard
718,rabbit
719,pillow
720,pineapple
721,skateboard
722,empty
723,octagon
724,sailboat
725,empty
726,sink
727,rhinoceros
728,rifle
729,octagon
730,empty
731,rifle
732,nail
733,penguin
734,empty
735,sailboat
736,pear
737,rifle
738,octagon
739,pineapple
740,sailboat
741,rollerskates
742,shovel
743,scorpion
744,skull
745,pool
746,pineapple
747,skateboard
748,skull
749,empty
750,nose
751,scorpion
752,rifle
753,mug
754,octagon
755,pillow
756,sailboat
757,skull
758,apple
759,peanut
760,mouth
761,empty
762,octagon
763,pineapple
764,rollerskates
765,sink
766,shovel
767,mouth
768,squiggle
769,scorpion
770,mug
771,octagon
772,nose
773,apple
774,shovel
775,apple
776,scorpion
777,scorpion
778,pool
779,rifle
780,empty
781,mouth
782,pineapple
783,screwdriver
784,nail
785,rollerskates
786,rabbit
787,sink
788,apple
789,paintbrush
790,empty
791,nose
792,shovel
793,rabbit
794,sink
795,octagon
796,pineapple
797,scorpion
798,nose
799,sink
800,mug
801,skateboard
802,pool
803,mouth
804,mouth
805,empty
806,scorpion
807,pool
808,peanut
809,octagon
810,rifle
811,apple
812,rollerskates
813,pool
814,sink
815,spoon
816,sailboat
817,octagon
818,apple
819,octagon
820,mouth
821,mouth
822,scorpion
823,sailboat
824,pillow
825,moustache
826,moustache
827,peanut
828,skateboard
829,pillow
830,rollerskates
831,spoon
832,pineapple
833,screwdriver
834,empty
835,paintbrush
836,mouth
837,parrot
838,pool
839,rifle
840,rabbit
841,mouth
842,nail
843,rabbit
844,squiggle
845,squiggle
846,rifle
847,rollerskates
848,pool
849,apple
850,rifle
851,rollerskates
852,skateboard
853,rollerskates
854,scorpion
855,empty
856,mug
857,rhinoceros
858,empty
859,skateboard
860,pineapple
861,skull
862,penguin
863,sailboat
864,sink
865,mouth
866,mug
867,peanut
868,pear
869,mug
870,paintbrush
871,mouth
872,squiggle
873,pineapple
874,nail
875,rifle
876,pencil
877,paintbrush
878,rollerskates
879,squiggle
880,mug
881,octagon
882,pillow
883,scorpion
884,rollerskates
885,pool
886,nail
887,pillow
888,rifle
889,octagon
890,rifle
891,parrot
892,sailboat
893,penguin
894,squiggle
895,nail
896,skull
897,sailboat
898,octagon
899,penguin
900,paintbrush
901,apple
902,pool
903,pineapple
904,rifle
905,mug
906,pineapple
907,moustache
908,skull
909,octagon
910,pillow
911,scorpion
912,peanut
913,empty
914,pear
915,sailboat
916,mouth
917,empty
918,mug
919,apple
920,pillow
921,sailboat
922,sailboat
923,shovel
924,moustache
925,spoon
926,nail
927,moustache
928,mug
929,pineapple
930,apple
931,rhinoceros
932,octagon
933,shovel
934,paintbrush
935,penguin
936,nail
937,nail
938,sailboat
939,skateboard
940,mug
941,paintbrush
942,octagon
943,spoon
944,mouth
945,pear
946,mouth
947,pillow
948,penguin
949,peanut
950,rhinoceros
951,mouth
952,apple
953,pool
954,paintbrush
955,rifle
956,spoon
957,pool
958,paintbrush
959,scorpion
960,rhinoceros
961,nail
962,skull
963,empty
964,penguin
965,pillow
966,scorpion
967,penguin
968,apple
969,rifle
970,rhinoceros
971,rhinoceros
972,pool
973,empty
974,panda
975,pillow
976,nail
977,spoon
978,rabbit
979,octagon
980,peanut
981,empty
982,panda
983,mug
984,pool
985,pool
986,pool
987,pool
988,rollerskates
989,screwdriver
990,rhinoceros
991,rifle
992,mug
993,pool
994,octagon
995,mug
996,mug
997,pear
998,pineapple
999,sailboat
1000,paintbrush
1001,skull
1002,skateboard
1003,skateboard
1004,pencil
1005,mouth
1006,pear
1007,moustache
1008,pineapple
1009,scorpion
1010,nail
1011,octagon
1012,sailboat
1013,pillow
1014,skateboard
1015,shovel
1016,octagon
1017,pineapple
1018,octagon
1019,nail
1020,moustache
1021,pillow
1022,sailboat
1023,rabbit
1024,pool
1025,paintbrush
1026,skateboard
1027,skateboard
1028,nail
1029,pineapple
1030,skateboard
1031,paintbrush
1032,rifle
1033,rifle
1034,spoon
1035,pool
1036,empty
1037,sailboat
1038,rhinoceros
1039,penguin
1040,pear
1041,pillow
1042,mug
1043,scorpion
1044,paintbrush
1045,mug
1046,scorpion
1047,empty
1048,rifle
1049,paintbrush
1050,sink
1051,penguin
1052,empty
1053,pineapple
1054,empty
1055,pillow
1056,rollerskates
1057,mouth
1058,sink
1059,parrot
1060,rabbit
1061,apple
1062,sailboat
1063,pillow
1064,spoon
1065,octagon
1066,pineapple
1067,rollerskates
1068,rifle
1069,mouth
1070,pencil
1071,pool
1072,rabbit
1073,panda
1074,sailboat
1075,penguin
1076,mouth
1077,sink
1078,mouth
1079,pineapple
1080,rollerskates
1081,mouth
1082,sailboat
1083,mouth
1084,nose
1085,skateboard
1086,rabbit
1087,pool
1088,pineapple
1089,nail
1090,penguin
1091,peanut
1092,scorpion
1093,penguin
1094,sink
1095,skateboard
1096,paintbrush
1097,skull
1098,moustache
1099,mouth
1100,mouth
1101,octagon
1102,sink
1103,skull
1104,pear
1105,scorpion
1106,pool
1107,rifle
1108,pineapple
1109,pineapple
1110,skateboard
1111,pool
1112,apple
1113,rollerskates
1114,rifle
1115,skateboard
1116,spoon
1117,nail
1118,octagon
1119,squiggle
1120,spoon
1121,penguin
1122,pear
1123,rollerskates
1124,skateboard
1125,spoon
1126,skull
1127,rifle
1128,rifle
1129,rabbit
1130,shovel
1131,sailboat
1132,peanut
1133,moustache
1134,nail
1135,paintbrush
1136,rifle
1137,pool
1138,squiggle
1139,skull
1140,pineapple
1141,rifle
1142,mouth
1143,sailboat
1144,pear
1145,screwdriver
1146,penguin
1147,pool
1148,parrot
1149,nose
1150,skull
1151,paintbrush
1152,penguin
1153,mouth
1154,rollerskates
1155,skull
1156,sailboat
1157,apple
1158,pear
1159,mug
1160,empty
1161,sailboat
1162,sailboat
1163,pool
1164,parrot
1165,parrot
1166,rabbit
1167,mug
1168,skull
1169,apple
1170,pineapple
1171,apple
1172,octagon
1173,mouth
1174,octagon
1175,paintbrush
1176,empty
1177,shovel
1178,skateboard
1179,nail
1180,mouth
1181,moustache
1182,apple
1183,skateboard
1184,skateboard
1185,shovel
1186,mug
1187,skateboard
1188,mouth
1189,squiggle
1190,rifle
1191,pool
1192,rollerskates
1193,squiggle
1194,apple
1195,rollerskates
1196,spoon
1197,squiggle
1198,skateboard
1199,skateboard
1200,empty
1201,octagon
1202,parrot
1203,rifle
1204,octagon
1205,paintbrush
1206,rifle
1207,pool
1208,scorpion
1209,rollerskates
1210,rollerskates
1211,skateboard
1212,squiggle
1213,screwdriver
1214,peanut
1215,pillow
1216,apple
1217,spoon
1218,nail
1219,sailboat
1220,parrot
1221,skateboard
1222,octagon
1223,pineapple
1224,skateboard
1225,pool
1226,pool
1227,sink
1228,apple
1229,pear
1230,rabbit
1231,pool
1232,empty
1233,pool
1234,pineapple
1235,sink
1236,rollerskates
1237,sailboat
1238,empty
1239,scorpion
1240,nail
1241,skull
1242,sink
1243,rifle
1244,pool
1245,skateboard
1246,rollerskates
1247,pineapple
1248,rollerskates
1249,apple
1250,rabbit
1251,octagon
1252,mug
1253,rabbit
1254,pool
1255,scorpion
1256,mug
1257,pillow
1258,rabbit
1259,paintbrush
1260,nail
1261,mug
1262,penguin
1263,rifle
1264,nail
1265,nail
1266,rifle
1267,rabbit
1268,pool
1269,screwdriver
1270,pool
1271,rifle
1272,peanut
1273,rifle
1274,octagon
1275,apple
1276,paintbrush
1277,pillow
1278,rifle
1279,penguin
1280,nail
1281,skateboard
1282,skateboard
1283,pool
1284,skateboard
1285,octagon
1286,parrot
1287,rollerskates
1288,sink
1289,parrot
1290,sink
1291,skateboard
1292,nose
1293,pencil
1294,peanut
1295,empty
1296,pineapple
1297,pineapple
1298,rifle
1299,paintbrush
1300,scorpion
1301,pineapple
1302,rifle
1303,rabbit
1304,peanut
1305,octagon
1306,penguin
1307,pencil
1308,nose
1309,pool
1310,octagon
1311,apple
1312,sink
1313,pineapple
1314,octagon
1315,mug
1316,pool
1317,shovel
1318,pineapple
1319,shovel
1320,pineapple
1321,parrot
1322,nose
1323,skateboard
1324,rhinoceros
1325,mouth
1326,pillow
1327,pineapple
1328,nail
1329,rifle
1330,rabbit
1331,nail
1332,mouth
1333,paintbrush
1334,penguin
1335,rollerskates
1336,rifle
1337,nose
1338,shovel
1339,penguin
1340,nail
1341,nail
1342,empty
1343,pool
1344,squiggle
1345,rifle
1346,pool
1347,rollerskates
1348,squiggle
1349,skateboard
1350,pool
1351,apple
1352,pear
1353,penguin
1354,nail
1355,skateboard
1356,pillow
1357,pear
1358,spoon
1359,nail
1360,scorpion
1361,squiggle
1362,skull
1363,paintbrush
1364,pear
1365,pool
1366,octagon
1367,skull
1368,scorpion
1369,mouth
1370,rifle
1371,pineapple
1372,mouth
1373,mouth
1374,shovel
1375,moustache
1376,skull
1377,pear
1378,rifle
1379,rhinoceros
1380,empty
1381,empty
1382,mouth
1383,paintbrush
1384,scorpion
1385,pear
1386,scorpion
